id,mesoregion_id,state_id,name
43001,4301,43,Santa Rosa
43002,4301,43,Três Passos
43003,4301,43,Frederico Westphalen
43004,4301,43,Erechim
43005,4301,43,Sananduva
43006,4301,43,Cerro Largo
43007,4301,43,Santo Ângelo
43008,4301,43,Ijuí
43009,4301,43,Carazinho
43010,4301,43,Passo Fundo
43011,4301,43,Cruz Alta
43012,4301,43,Não-Me-Toque
43013,4301,43,Soledade
43014,4302,43,Guaporé
43015,4302,43,Vacaria
43016,4302,43,Caxias do Sul
43017,4303,43,Santiago
43018,4303,43,Santa Maria
43019,4303,43,Restinga Seca
43020,4304,43,Santa Cruz do Sul
43021,4304,43,Lajeado-Estrela
43022,4304,43,Cachoeira do Sul
43023,4305,43,Montenegro
43024,4305,43,Gramado-Canela
43025,4305,43,São Jerônimo
43026,4305,43,Porto Alegre
43027,4305,43,Osório
43028,4305,43,Camaquã
43029,4306,43,Campanha Ocidental
43030,4306,43,Campanha Central
43031,4306,43,Campanha Meridional
43032,4307,43,Serras de Sudeste
43033,4307,43,Pelotas
43034,4307,43,Jaguarão
43035,4307,43,Litoral Lagunar
50001,5001,50,Baixo Pantanal
50002,5001,50,Aquidauana
50003,5002,50,Alto Taquari
50004,5002,50,Campo Grande
50005,5003,50,Cassilândia
50006,5003,50,Paranaíba
50007,5003,50,Três Lagoas
50008,5003,50,Nova Andradina
50009,5004,50,Bodoquena
50010,5004,50,Dourados
50011,5004,50,Iguatemi
51001,5101,51,Aripuanã
51002,5101,51,Alta Floresta
51003,5101,51,Colíder
51004,5101,51,Parecis
51005,5101,51,Arinos
51006,5101,51,Alto Teles Pires
51007,5101,51,Sinop
51008,5101,51,Paranatinga
51009,5102,51,Norte Araguaia
51010,5102,51,Canarana
51011,5102,51,Médio Araguaia
51012,5103,51,Alto Guaporé
51013,5103,51,Tangará da Serra
51014,5103,51,Jauru
51015,5104,51,Alto Paraguai
51016,5104,51,Rosário Oeste
51017,5104,51,Cuiabá
51018,5104,51,Alto Pantanal
51019,5105,51,Primavera do Leste
51020,5105,51,Tesouro
51021,5105,51,Rondonópolis
51022,5105,51,Alto Araguaia
52001,5201,52,São Miguel do Araguaia
52002,5201,52,Rio Vermelho
52003,5201,52,Aragarças
52004,5202,52,Porangatu
52005,5202,52,Chapada dos Veadeiros
52006,5203,52,Ceres
52007,5203,52,Anápolis
52008,5203,52,Iporá
52009,5203,52,Anicuns
52010,5203,52,Goiânia
52011,5204,52,Vão do Paranã
52012,5204,52,Entorno de Brasília
52013,5205,52,Sudoeste de Goiás
52014,5205,52,Vale do Rio dos Bois
52015,5205,52,Meia Ponte
52016,5205,52,Pires do Rio
52017,5205,52,Catalão
52018,5205,52,Quirinópolis
53001,5301,53,Brasília
