id,district_id,municipality_id,microregion_id,mesoregion_id,state_id,name
33004070509,330040705,3300407,33011,3305,33,Região Administrativa IX
33004070510,330040705,3300407,33011,3305,33,Região Administrativa X
33004070511,330040705,3300407,33011,3305,33,Região Administrativa XI
33004070512,330040705,3300407,33011,3305,33,Região Administrativa XII
33004070513,330040705,3300407,33011,3305,33,Região Administrativa XIII
33004070514,330040705,3300407,33011,3305,33,Região Administrativa XIV
33004560501,330045605,3300456,33018,3306,33,Areia Branca
33004560502,330045605,3300456,33018,3306,33,Nova Aurora
33004560503,330045605,3300456,33018,3306,33,Jardim Redentor
33004560504,330045605,3300456,33018,3306,33,Parque São José
33004560505,330045605,3300456,33018,3306,33,Lote XV
33009360501,330093605,3300936,33004,3302,33,Primeira Região Administrativa (Centro)
33009360502,330093605,3300936,33004,3302,33,Segunda Região Administrativa (Ubás)
33009360503,330093605,3300936,33004,3302,33,Terceira Região Administrativa (Rodagem)
33009360504,330093605,3300936,33004,3302,33,Quarta Região Administrativa (Praia de Carapebus)
33010090506,330100905,3301009,33003,3302,33,Primeiro Subdistrito
33010090507,330100905,3301009,33003,3302,33,Segundo Subdistrito
33010090508,330100905,3301009,33003,3302,33,Terceiro Subdistrito
33010090509,330100905,3301009,33003,3302,33,Quarto Subdistrito
33018760506,330187605,3301876,33010,3304,33,Sub-região da Orla
33018760507,330187605,3301876,33010,3304,33,Sub-região do Arrastão das Pedras
33018760508,330187605,3301876,33010,3304,33,Sub-região de Sapeatiba
33018760509,330187605,3301876,33010,3304,33,Sub-região Área da Lagoa
33022700501,330227005,3302270,33018,3306,33,Japeri
33022700502,330227005,3302270,33018,3306,33,Engenheiro Pedreira
33022700503,330227005,3302270,33018,3306,33,Marajoara
33022700504,330227005,3302270,33018,3306,33,Rio D'Ouro
33022700505,330227005,3302270,33018,3306,33,Pedra Lisa
33024030501,330240305,3302403,33004,3302,33,Barra de Macaé
33024030502,330240305,3302403,33004,3302,33,Aeroporto
33024030503,330240305,3302403,33004,3302,33,Cabiúnas
33024030504,330240305,3302403,33004,3302,33,Imboassica
33024030505,330240305,3302403,33004,3302,33,Centro
33024030506,330240305,3302403,33004,3302,33,Nova Cidade
33035000510,330350005,3303500,33018,3306,33,Unidade Regional de Governo Centro - URG I
33035000511,330350005,3303500,33018,3306,33,Unidade Regional de Governo da Posse - URG II
33035000512,330350005,3303500,33018,3306,33,Unidade Regional de Governo de Comendador Soares - URG III
33035000516,330350005,3303500,33018,3306,33,Unidade Regional de Governo de Cabuçu - URG VII
33035000517,330350005,3303500,33018,3306,33,Unidade Regional de Governo de Km 32 - URG VIII
33035000518,330350005,3303500,33018,3306,33,Unidade Regional de Governo de Austim - URG IX
33035000519,330350005,3303500,33018,3306,33,Unidade Regional de Governo de Vila de Cava - URG X
33035000520,330350005,3303500,33018,3306,33,Unidade Regional de Governo de Miguel Couto - URG XI
33035000521,330350005,3303500,33018,3306,33,"U.R.G. de Tinguá,Adrianópolis,Rio D'Ouro e Jaceruba-URG XII"
33041440501,330414405,3304144,33018,3306,33,Centro
33041440502,330414405,3304144,33018,3306,33,Nordeste
33041440503,330414405,3304144,33018,3306,33,Leste
33041440504,330414405,3304144,33018,3306,33,Sul
33041440505,330414405,3304144,33018,3306,33,Oeste
33041440506,330414405,3304144,33018,3306,33,Norte
33041440507,330414405,3304144,33018,3306,33,Industrial
33045570506,330455705,3304557,33018,3306,33,Portuária
33045570507,330455705,3304557,33018,3306,33,Centro
33045570508,330455705,3304557,33018,3306,33,Rio Comprido
33045570509,330455705,3304557,33018,3306,33,Botafogo
33045570510,330455705,3304557,33018,3306,33,Copacabana
33045570511,330455705,3304557,33018,3306,33,Lagoa
33045570512,330455705,3304557,33018,3306,33,São Cristovão
33045570513,330455705,3304557,33018,3306,33,Tijuca
33045570514,330455705,3304557,33018,3306,33,Vila Isabel
33045570515,330455705,3304557,33018,3306,33,Ramos
33045570516,330455705,3304557,33018,3306,33,Penha
33045570517,330455705,3304557,33018,3306,33,Méier
33045570519,330455705,3304557,33018,3306,33,Irajá
33045570520,330455705,3304557,33018,3306,33,Madureira
33045570521,330455705,3304557,33018,3306,33,Jacarepaguá
33045570522,330455705,3304557,33018,3306,33,Bangu
33045570523,330455705,3304557,33018,3306,33,Campo Grande
33045570524,330455705,3304557,33018,3306,33,Santa Cruz
33045570525,330455705,3304557,33018,3306,33,Ilha do Governador
33045570526,330455705,3304557,33018,3306,33,Ilha de Paquetá
33045570527,330455705,3304557,33018,3306,33,Anchieta
33045570528,330455705,3304557,33018,3306,33,Santa Teresa
33045570529,330455705,3304557,33018,3306,33,Barra da Tijuca
33045570530,330455705,3304557,33018,3306,33,Pavuna
33045570531,330455705,3304557,33018,3306,33,Guaratiba
33045570532,330455705,3304557,33018,3306,33,Inhaúma
33045570533,330455705,3304557,33018,3306,33,Rocinha
33045570534,330455705,3304557,33018,3306,33,Jacarezinho
33045570535,330455705,3304557,33018,3306,33,Complexo do Alemão
33045570536,330455705,3304557,33018,3306,33,Maré
33045570537,330455705,3304557,33018,3306,33,Realengo
33045570538,330455705,3304557,33018,3306,33,Cidade de Deus
33045570539,330455705,3304557,33018,3306,33,Vigário Geral
33052080506,330520805,3305208,33010,3304,33,Região Sul
33052080507,330520805,3305208,33010,3304,33,Região Norte
33052080508,330520805,3305208,33010,3304,33,Região Oeste
33052080509,330520805,3305208,33010,3304,33,Região Leste
41043030501,410430305,4104303,41005,4102,41,Zona 1
41043030502,410430305,4104303,41005,4102,41,Zona 2
41043030503,410430305,4104303,41005,4102,41,Zona 3
41043030504,410430305,4104303,41005,4102,41,Zona 4
41043030505,410430305,4104303,41005,4102,41,Zona 5
41069020501,410690205,4106902,41037,4110,41,Administração Regional da Matriz (R.1.MZ)
41069020502,410690205,4106902,41037,4110,41,Administração Regional do Boqueirão (R.2.BQ)
41069020503,410690205,4106902,41037,4110,41,Administração Regional do Cajuru (R.3.CJ)
