id,id_municipio,id_microrregiao,id_mesorregiao,id_estado,nome
140028205,1400282,14003,1402,14,Iracema
140030805,1400308,14003,1402,14,Mucajaí
140040705,1400407,14002,1401,14,Normandia
140045605,1400456,14001,1401,14,Pacaraima
140047205,1400472,14004,1402,14,Rorainópolis
140050605,1400506,14004,1402,14,São João da Baliza
140060505,1400605,14004,1402,14,São Luiz
140070405,1400704,14002,1401,14,Uiramutã
150010705,1500107,15011,1504,15,Abaetetuba
150010710,1500107,15011,1504,15,Beja
150013105,1500131,15017,1506,15,Abel Figueiredo
150020605,1500206,15012,1504,15,Acará
150020610,1500206,15012,1504,15,Guajará-Miri
150020615,1500206,15012,1504,15,Jaguarari
150030505,1500305,15005,1502,15,Afuá
150034705,1500347,15019,1506,15,Água Azul do Norte
150040405,1500404,15002,1501,15,Alenquer
150050305,1500503,15003,1501,15,Almeirim
150050310,1500503,15003,1501,15,Arumanduba
150050315,1500503,15003,1501,15,Monte Dourado
150060205,1500602,15015,1505,15,Altamira
150060207,1500602,15015,1505,15,Castelo dos Sonhos
150070105,1500701,15005,1502,15,Anajás
150080005,1500800,15007,1503,15,Ananindeua
150085905,1500859,15015,1505,15,Anapu
150090905,1500909,15010,1504,15,Augusto Corrêa
150090910,1500909,15010,1504,15,Aturiaí
150090915,1500909,15010,1504,15,Emboraí
150090920,1500909,15010,1504,15,Itapixuna
150095805,1500958,15013,1504,15,Aurora do Pará
150100605,1501006,15014,1505,15,Aveiro
150100610,1501006,15014,1505,15,Brasília Legal
150100615,1501006,15014,1505,15,Pinhel
150110505,1501105,15004,1502,15,Bagre
150110510,1501105,15004,1502,15,Pedreira
150120405,1501204,15011,1504,15,Baião
150120410,1501204,15011,1504,15,Joana Peres
150120420,1501204,15011,1504,15,São Joaquim do Ituquara
150120430,1501204,15011,1504,15,Umarizal do Tocantins
150125305,1501253,15018,1506,15,Bannach
150130305,1501303,15007,1503,15,Barcarena
150130310,1501303,15007,1503,15,Murucupi
150140205,1501402,15007,1503,15,Belém
150140245,1501402,15007,1503,15,Bengui
150140250,1501402,15007,1503,15,Entroncamento
150140255,1501402,15007,1503,15,Guamá
150140260,1501402,15007,1503,15,Icoaraci
150140265,1501402,15007,1503,15,Mosqueiro
150140267,1501402,15007,1503,15,Outeiro
150140275,1501402,15007,1503,15,Sacramenta
150145105,1501451,15002,1501,15,Belterra
150150105,1501501,15007,1503,15,Benevides
150150110,1501501,15007,1503,15,Benfica
150157605,1501576,15017,1506,15,Bom Jesus do Tocantins
150160005,1501600,15010,1504,15,Bonito
150170905,1501709,15010,1504,15,Bragança
150170910,1501709,15010,1504,15,Almoço
150170915,1501709,15010,1504,15,Caratateua
150170920,1501709,15010,1504,15,Nova Mocajuba
150170930,1501709,15010,1504,15,Tijoca
150170940,1501709,15010,1504,15,Vila do Treme
150172505,1501725,15015,1505,15,Brasil Novo
150175805,1501758,15020,1506,15,Brejo Grande do Araguaia
150175815,1501758,15020,1506,15,São Raimundo do Araguaia
150178205,1501782,15016,1506,15,Breu Branco
150180805,1501808,15005,1502,15,Breves
150180810,1501808,15005,1502,15,Antônio Lemos
150180815,1501808,15005,1502,15,Curumu
150180820,1501808,15005,1502,15,São Miguel dos Macacos
150190705,1501907,15008,1503,15,Bujaru
150190710,1501907,15008,1503,15,Guajará-Açu
150195605,1501956,15013,1504,15,Cachoeira do Piriá
150200405,1502004,15006,1502,15,Cachoeira do Arari
150210305,1502103,15011,1504,15,Cametá
150210307,1502103,15011,1504,15,Areião
150210310,1502103,15011,1504,15,Carapajó
150210315,1502103,15011,1504,15,Curuçambaba
150210320,1502103,15011,1504,15,Januacoeli
150210325,1502103,15011,1504,15,Juaba
150210330,1502103,15011,1504,15,Moiraba
150210336,1502103,15011,1504,15,Torres do Cupijó
150210340,1502103,15011,1504,15,Vila do Carmo do Tocantins
150215205,1502152,15019,1506,15,Canaã dos Carajás
150220205,1502202,15010,1504,15,Capanema
150220210,1502202,15010,1504,15,Mirasselvas
150220215,1502202,15010,1504,15,Tauari
150230105,1502301,15013,1504,15,Capitão Poço
150240005,1502400,15008,1503,15,Castanhal
150240010,1502400,15008,1503,15,Apeú
150250905,1502509,15006,1502,15,Chaves
150250910,1502509,15006,1502,15,São Sebastião de Viçosa
150260805,1502608,15009,1504,15,Colares
150270705,1502707,15022,1506,15,Conceição do Araguaia
150275605,1502756,15012,1504,15,Concórdia do Pará
150276405,1502764,15018,1506,15,Cumaru do Norte
150277205,1502772,15019,1506,15,Curionópolis
150280605,1502806,15005,1502,15,Curralinho
150280610,1502806,15005,1502,15,Piriá
150285505,1502855,15002,1501,15,Curuá
150290505,1502905,15009,1504,15,Curuçá
150290520,1502905,15009,1504,15,Lauro Sodré
150290525,1502905,15009,1504,15,Murajá
150290540,1502905,15009,1504,15,Ponta de Ramos
150293905,1502939,15017,1506,15,Dom Eliseu
150295405,1502954,15019,1506,15,Eldorado dos Carajás
150300205,1503002,15001,1501,15,Faro
150300208,1503002,15001,1501,15,Nova Maracanã
150304405,1503044,15022,1506,15,Floresta do Araguaia
150307705,1503077,15013,1504,15,Garrafão do Norte
150309305,1503093,15017,1506,15,Goianésia do Pará
150310105,1503101,15004,1502,15,Gurupá
150310110,1503101,15004,1502,15,Carrazedo
150310115,1503101,15004,1502,15,Itatupã
150320005,1503200,15010,1504,15,Igarapé-Açu
150320010,1503200,15010,1504,15,Caripi
150330905,1503309,15011,1504,15,Igarapé-Miri
150330910,1503309,15011,1504,15,Maiauatá
150340805,1503408,15008,1503,15,Inhangapi
150345705,1503457,15013,1504,15,Ipixuna do Pará
150350705,1503507,15013,1504,15,Irituia
150360605,1503606,15014,1505,15,Itaituba
150370505,1503705,15016,1506,15,Itupiranga
150375405,1503754,15014,1505,15,Jacareacanga
150375420,1503754,15014,1505,15,Porto Rico
150380405,1503804,15016,1506,15,Jacundá
150390305,1503903,15001,1501,15,Juruti
150400005,1504000,15011,1504,15,Limoeiro do Ajuru
150405905,1504059,15013,1504,15,Mãe do Rio
150410905,1504109,15009,1504,15,Magalhães Barata
150410910,1504109,15009,1504,15,Cafezal
150420805,1504208,15020,1506,15,Marabá
150430705,1504307,15009,1504,15,Maracanã
150430715,1504307,15009,1504,15,Boa Esperança
150430740,1504307,15009,1504,15,São Roberto
150440605,1504406,15009,1504,15,Marapanim
